	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
	re	re_rob1	re_rob2	regar1_re	regar2_re	pcar1	pcar2	scc_fe1	scc_fe2	pcpsar1	pcpsar2
VARIABLES	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp
											
pol_stability	-0.0708	-0.0708	-0.0935	0.0488	0.0488	0.0807	0.0734	0.0979	0.110	-0.330**	-0.313**
	(0.273)	(0.310)	(0.328)	(0.275)	(0.275)	(0.207)	(0.210)	(0.444)	(0.383)	(0.168)	(0.132)
inflation	0.0574	0.0574	0.0287	0.0615	0.0615	0.103*	0.0781	-0.00758	-0.0501	0.119**	0.113**
	(0.0464)	(0.0641)	(0.0709)	(0.0474)	(0.0474)	(0.0556)	(0.0578)	(0.0355)	(0.0385)	(0.0481)	(0.0542)
startbusin	0.0440*	0.0440	0.0448	0.0341	0.0341	0.0298*	0.0319*	0.0838*	0.0763*	0.0493**	0.0500**
	(0.0248)	(0.0270)	(0.0300)	(0.0256)	(0.0256)	(0.0175)	(0.0179)	(0.0361)	(0.0318)	(0.0237)	(0.0252)
urban	-0.0558***	-0.0558***	-0.0562***	-0.0509***	-0.0509***	-0.0498***	-0.0494***	-0.156	-0.308	-0.0520***	-0.0537***
	(0.0156)	(0.0138)	(0.0144)	(0.0154)	(0.0154)	(0.0155)	(0.0169)	(0.0983)	(0.184)	(0.0173)	(0.0169)
log_unemp	-0.573**	-0.573*	-0.518	-0.593**	-0.593**	-0.663**	-0.631**	-0.491	-0.209	-0.627***	-0.634**
	(0.243)	(0.307)	(0.335)	(0.253)	(0.253)	(0.264)	(0.292)	(0.565)	(0.712)	(0.240)	(0.257)
schooling	-0.215	-0.215	-0.199	-0.238	-0.238	-0.270**	-0.253*	0.699	1.805	-0.203**	-0.183*
	(0.161)	(0.140)	(0.148)	(0.158)	(0.158)	(0.127)	(0.137)	(0.639)	(1.234)	(0.0931)	(0.104)
dummy_eu	0.524	0.524	0.476	0.326	0.326	0.382	0.315	0	0	0.596*	0.535*
	(0.425)	(0.409)	(0.445)	(0.421)	(0.421)	(0.443)	(0.468)	(0)	(0)	(0.307)	(0.315)
dummy_oecd	0.302	0.302	0.261	0.392	0.392	0.475	0.433	0	0	0.219	0.0803
	(0.428)	(0.389)	(0.403)	(0.420)	(0.420)	(0.290)	(0.303)	(0)	(0)	(0.284)	(0.282)
year2015			-0.190	-0.154	-0.154		-0.140***		-0.190***		-0.112
			(0.304)	(0.313)	(0.313)		(0.0466)		(0.0501)		(0.132)
year2016			-0.311	-0.289	-0.289		-0.285***		-0.216		-0.422**
			(0.353)	(0.359)	(0.359)		(0.0298)		(0.113)		(0.169)
year2017			0.525*	0.515	0.515		0.503***		0.749**		0.319
			(0.317)	(0.377)	(0.377)		(0.0817)		(0.232)		(0.200)
year2018			0.376	0.356	0.356		0.339***		0.686*		0.0448
			(0.344)	(0.385)	(0.385)		(0.116)		(0.339)		(0.218)
year2019			-0.334	-0.323	-0.323		-0.330***		-0.0167		-0.408*
			(0.369)	(0.391)	(0.391)		(0.114)		(0.397)		(0.219)
year2020	-6.930***	-6.930***	-6.941***	-6.893***	-6.893***	-6.742***	-6.880***	-6.963***	-6.695***	-7.008***	-7.137***
	(0.277)	(0.482)	(0.552)	(0.388)	(0.388)	(0.320)	(0.0749)	(0.149)	(0.306)	(0.335)	(0.192)
Constant	4.954*	4.954*	4.771	5.719**	5.719**	6.248***	5.945***	0	0	4.223	4.324
	(2.776)	(2.801)	(2.949)	(2.806)	(2.806)	(1.681)	(1.680)	(0)	(0)	(2.754)	(3.081)
											
Observations	294	294	294	294	294	294	294	294	294	294	294
R-squared						0.701	0.711			0.761	0.763
Number of country_id	42	42	42	42	42	42	42			42	42
Number of groups								42	42		
Standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
