	(1)	(2)	(3)	(4)	(5)	(6)
	re	re_rob	regar_re	pcar	pcpsar	scc_re
VARIABLES	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp
						
rule_of_law	0.0544	0.0748	0.109	0.123	0.0212	0.0748
	(0.306)	(0.308)	(0.308)	(0.225)	(0.238)	(0.183)
inflation	0.0604	0.0318	0.0639	0.0804	0.120**	0.0318
	(0.0472)	(0.0708)	(0.0480)	(0.0603)	(0.0571)	(0.0276)
startbusin	0.0411*	0.0407	0.0326	0.0306*	0.0332	0.0407
	(0.0248)	(0.0301)	(0.0257)	(0.0170)	(0.0220)	(0.0261)
urban	-0.0587***	-0.0601***	-0.0538***	-0.0521***	-0.0603***	-0.0601***
	(0.0178)	(0.0178)	(0.0177)	(0.0130)	(0.0139)	(0.0112)
log_unemp	-0.550**	-0.482	-0.570**	-0.608**	-0.539**	-0.482***
	(0.250)	(0.347)	(0.263)	(0.262)	(0.241)	(0.0552)
schooling	-0.204	-0.184	-0.226	-0.241**	-0.175*	-0.184**
	(0.165)	(0.151)	(0.162)	(0.120)	(0.0939)	(0.0694)
dummy_eu	0.463	0.391	0.323	0.316	0.341	0.391
	(0.400)	(0.443)	(0.395)	(0.393)	(0.247)	(0.390)
dummy_oecd	0.292	0.248	0.337	0.368	0.172	0.248
	(0.444)	(0.411)	(0.435)	(0.272)	(0.260)	(0.356)
year2015		-0.176	-0.150	-0.138***	-0.0927	-0.176***
		(0.304)	(0.314)	(0.0457)	(0.126)	(0.0159)
year2016		-0.294	-0.286	-0.283***	-0.394**	-0.294***
		(0.351)	(0.359)	(0.0223)	(0.154)	(0.0225)
year2017		0.546*	0.523	0.510***	0.359**	0.546***
		(0.314)	(0.377)	(0.0717)	(0.179)	(0.0560)
year2018		0.401	0.369	0.351***	0.103	0.401***
		(0.340)	(0.387)	(0.0999)	(0.196)	(0.0646)
year2019		-0.298	-0.310	-0.319***	-0.343*	-0.298***
		(0.365)	(0.391)	(0.0951)	(0.194)	(0.0753)
year2020	-6.919***	-6.907***	-6.877***	-6.866***	-7.032***	-6.907***
	(0.279)	(0.538)	(0.390)	(0.0648)	(0.172)	(0.0696)
Constant	5.233*	5.151*	5.846**	6.052***	5.867**	5.151*
	(2.775)	(3.008)	(2.810)	(1.786)	(2.880)	(2.263)
						
Observations	294	294	294	294	294	294
Number of country_id	42	42	42	42	42	
Number of groups						42
R-squared				0.712	0.759	
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
