	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
	pool	fe	re	fe_t	re_t	re_rob	pcpsar	scc_re
VARIABLES	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp	growth_gdp
								
rule_of_law	0.108	0.255	0.0544	0.790	0.0748	0.0748	0.0212	0.0748
	(0.213)	(1.147)	(0.306)	(1.167)	(0.314)	(0.308)	(0.238)	(0.183)
inflation	0.126***	-0.00646	0.0604	-0.0487	0.0318	0.0318	0.120**	0.0318
	(0.0426)	(0.0581)	(0.0472)	(0.0587)	(0.0482)	(0.0708)	(0.0571)	(0.0276)
startbusin	0.0295	0.0824	0.0411*	0.0713	0.0407	0.0407	0.0332	0.0407
	(0.0183)	(0.0540)	(0.0248)	(0.0538)	(0.0255)	(0.0301)	(0.0220)	(0.0261)
urban	-0.0567***	-0.152	-0.0587***	-0.314	-0.0601***	-0.0601***	-0.0603***	-0.0601***
	(0.0121)	(0.219)	(0.0178)	(0.266)	(0.0181)	(0.0178)	(0.0139)	(0.0112)
log_unemp	-0.654***	-0.502	-0.550**	-0.216	-0.482*	-0.482	-0.539**	-0.482***
	(0.185)	(0.525)	(0.250)	(0.567)	(0.261)	(0.347)	(0.241)	(0.0552)
o.schooling		-		-				
								
o.dummy_eu		-		-				
								
o.dummy_oecd		-		-				
								
year2015				-0.166	-0.176	-0.176	-0.0927	-0.176***
				(0.358)	(0.354)	(0.304)	(0.126)	(0.0159)
year2016				-0.196	-0.294	-0.294	-0.394**	-0.294***
				(0.370)	(0.353)	(0.351)	(0.154)	(0.0225)
year2017				0.795*	0.546	0.546*	0.359**	0.546***
				(0.408)	(0.358)	(0.314)	(0.179)	(0.0560)
year2018				0.741	0.401	0.401	0.103	0.401***
				(0.453)	(0.364)	(0.340)	(0.196)	(0.0646)
year2019				0.0335	-0.298	-0.298	-0.343*	-0.298***
				(0.494)	(0.367)	(0.365)	(0.194)	(0.0753)
year2020	-6.851***	-6.955***	-6.919***	-6.617***	-6.907***	-6.907***	-7.032***	-6.907***
	(0.306)	(0.319)	(0.279)	(0.517)	(0.366)	(0.538)	(0.172)	(0.0696)
schooling	-0.262**		-0.204		-0.184	-0.184	-0.175*	-0.184**
	(0.112)		(0.165)		(0.165)	(0.151)	(0.0939)	(0.0694)
dummy_eu	0.565**		0.463		0.391	0.391	0.341	0.391
	(0.271)		(0.400)		(0.406)	(0.443)	(0.247)	(0.390)
dummy_oecd	0.415		0.292		0.248	0.248	0.172	0.248
	(0.298)		(0.444)		(0.446)	(0.411)	(0.260)	(0.356)
Constant	6.550***	6.762	5.233*	18.82	5.151*	5.151*	5.867**	5.151*
	(2.008)	(14.46)	(2.775)	(18.21)	(2.800)	(3.008)	(2.880)	(2.263)
								
Observations	294	294	294	294	294	294	294	294
R-squared	0.693	0.731		0.745			0.759	
Number of country_id		42	42	42	42	42	42	
Number of groups								42
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
